track_genre,avg_popularity,track_count,avg_danceability,avg_energy,avg_valence,avg_mood
pop-film,59.28,999,0.597,0.604,0.529,0.559
k-pop,56.964,998,0.648,0.676,0.557,0.604
chill,53.705,999,0.664,0.426,0.404,0.413
sad,52.379,1000,0.692,0.462,0.422,0.438
grunge,49.583,999,0.457,0.803,0.4,0.562
indian,49.529,999,0.592,0.567,0.463,0.505
anime,48.767,999,0.538,0.674,0.435,0.53
emo,48.128,1000,0.599,0.67,0.441,0.533
pop,47.903,993,0.63,0.606,0.507,0.546
sertanejo,47.866,1000,0.592,0.71,0.619,0.656
progressive-house,46.662,999,0.624,0.813,0.365,0.544
piano,45.278,998,0.455,0.321,0.314,0.316
mandopop,45.025,1000,0.547,0.498,0.35,0.409
deep-house,44.789,998,0.711,0.742,0.447,0.565
brazil,44.668,998,0.563,0.621,0.47,0.53
electronic,44.325,1000,0.653,0.695,0.392,0.513
pagode,44.298,1000,0.578,0.712,0.688,0.698
ambient,44.208,999,0.368,0.237,0.167,0.195
british,43.802,1000,0.501,0.507,0.44,0.467
metal,43.678,998,0.464,0.841,0.418,0.587
metalcore,43.477,1000,0.424,0.914,0.315,0.555
psych-rock,42.899,996,0.503,0.562,0.564,0.563
hard-rock,42.723,998,0.482,0.795,0.514,0.626
acoustic,42.483,1000,0.55,0.435,0.424,0.429
dubstep,42.317,999,0.518,0.759,0.272,0.467
world-music,41.881,999,0.414,0.533,0.25,0.363
forro,41.832,998,0.65,0.79,0.76,0.772
gospel,41.641,999,0.473,0.576,0.321,0.423
j-pop,41.224,998,0.552,0.681,0.542,0.597
french,41.075,999,0.652,0.595,0.43,0.496
garage,40.933,1000,0.484,0.744,0.518,0.609
mpb,40.792,1000,0.574,0.58,0.556,0.566
turkish,40.701,999,0.616,0.61,0.462,0.521
j-rock,40.664,1000,0.509,0.761,0.538,0.627
indie-pop,40.657,1000,0.604,0.561,0.461,0.501
dub,40.058,999,0.576,0.715,0.387,0.518
techno,39.042,1000,0.684,0.746,0.322,0.492
indie,38.907,997,0.587,0.557,0.468,0.503
samba,38.826,1000,0.575,0.673,0.693,0.685
punk,38.292,999,0.5,0.81,0.556,0.657
punk-rock,38.236,1000,0.507,0.81,0.567,0.664
hip-hop,38.083,991,0.736,0.682,0.551,0.603
folk,38.044,999,0.559,0.546,0.49,0.512
spanish,37.922,1000,0.604,0.708,0.548,0.612
groove,37.833,998,0.584,0.764,0.427,0.562
songwriter,37.813,1000,0.562,0.434,0.414,0.422
singer-songwriter,37.813,1000,0.562,0.434,0.414,0.422
trance,37.637,999,0.583,0.845,0.277,0.504
swedish,37.175,1000,0.59,0.622,0.533,0.569
r-n-b,36.687,1000,0.614,0.638,0.633,0.635
synth-pop,36.576,1000,0.621,0.713,0.586,0.637
electro,36.146,998,0.652,0.665,0.467,0.546
hardcore,36.111,999,0.547,0.842,0.496,0.635
edm,35.139,993,0.648,0.756,0.465,0.581
ska,35.126,1000,0.581,0.793,0.697,0.735
children,35.117,998,0.716,0.494,0.694,0.614
sleep,35.071,1000,0.168,0.342,0.058,0.172
cantopop,34.754,999,0.548,0.462,0.393,0.421
trip-hop,34.499,997,0.635,0.622,0.478,0.536
rock-n-roll,34.434,1000,0.55,0.527,0.67,0.613
house,34.189,999,0.668,0.755,0.494,0.599
minimal-techno,34.018,998,0.729,0.68,0.283,0.442
alt-rock,33.897,999,0.535,0.754,0.518,0.613
disco,33.522,1000,0.677,0.738,0.671,0.697
dancehall,33.472,999,0.734,0.685,0.629,0.652
club,33.378,995,0.604,0.723,0.369,0.51
funk,32.322,1000,0.678,0.633,0.6,0.613
death-metal,32.179,999,0.368,0.931,0.248,0.521
rockabilly,31.503,999,0.561,0.659,0.727,0.7
show-tunes,31.257,999,0.464,0.399,0.379,0.387
blues,31.218,998,0.569,0.582,0.603,0.595
industrial,31.041,1000,0.53,0.862,0.425,0.6
malay,30.367,999,0.629,0.578,0.501,0.532
guitar,29.529,999,0.54,0.325,0.433,0.39
new-age,29.061,994,0.348,0.214,0.183,0.195
goth,28.917,999,0.479,0.741,0.443,0.562
salsa,28.063,998,0.668,0.724,0.815,0.778
disney,27.526,999,0.463,0.303,0.369,0.342
german,27.191,963,0.53,0.537,0.385,0.446
power-pop,26.924,996,0.474,0.801,0.615,0.69
j-dance,26.694,993,0.68,0.703,0.564,0.62
drum-and-bass,26.631,996,0.536,0.876,0.322,0.544
hardstyle,26.603,998,0.539,0.901,0.312,0.548
heavy-metal,26.179,998,0.428,0.874,0.388,0.583
study,26.128,998,0.685,0.411,0.403,0.406
latino,25.827,993,0.757,0.731,0.629,0.67
bluegrass,25.681,998,0.535,0.53,0.635,0.593
j-idol,24.714,999,0.549,0.869,0.578,0.694
comedy,24.644,996,0.577,0.7,0.455,0.553
opera,24.632,992,0.313,0.317,0.215,0.255
afrobeat,24.407,999,0.669,0.703,0.698,0.7
alternative,24.361,999,0.56,0.72,0.495,0.585
reggaeton,23.858,1000,0.759,0.739,0.643,0.681
dance,23.403,965,0.688,0.71,0.552,0.615
black-metal,22.461,997,0.297,0.875,0.192,0.465
happy,21.717,999,0.553,0.911,0.328,0.561
party,21.033,994,0.667,0.871,0.681,0.757
reggae,20.63,1000,0.745,0.726,0.648,0.679
breakbeat,20.132,999,0.646,0.853,0.475,0.626
tango,19.871,1000,0.538,0.373,0.584,0.499
soul,19.815,999,0.6,0.534,0.523,0.527
rock,19.001,1000,0.544,0.679,0.539,0.595
country,17.028,1000,0.555,0.597,0.521,0.552
honky-tonk,16.411,981,0.572,0.367,0.633,0.527
idm,15.76,998,0.527,0.555,0.303,0.404
kids,14.94,991,0.779,0.614,0.681,0.654
grindcore,14.629,998,0.272,0.924,0.216,0.5
jazz,13.587,999,0.51,0.353,0.49,0.435
classical,13.52,933,0.382,0.195,0.379,0.305
chicago-house,12.334,998,0.766,0.733,0.587,0.645
detroit-techno,11.183,998,0.722,0.71,0.469,0.565
latin,8.364,990,0.721,0.727,0.632,0.67
romance,3.55,904,0.432,0.299,0.395,0.356
iranian,2.225,988,0.3,0.545,0.153,0.31
